league,year,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_coef,ppda_att,ppda_def,oppda_coef,oppda_att,oppda_def,team,xG_diff,xGA_diff,xpts_diff
Bundesliga,2018,h,1.70071,1.18244,1.70071,1.18244,4,5,0,1,1.7826,l,2019-02-02 14:30:00,0,0,1,0,0.51827,8.214285714285714,230,28,12.75,255,20,Hertha Berlin,1.70071,0.18243999999999994,1.7826
Bundesliga,2018,a,2.49289,1.30285,2.49289,1.30285,7,13,3,0,2.2272,w,2019-02-09 14:30:00,1,0,0,3,1.19004,29.692307692307693,386,13,15.545454545454545,171,11,Hertha Berlin,-0.50711,1.30285,-0.7728000000000002
Bundesliga,2018,h,1.09705,0.390094,1.09705,0.390094,6,4,1,1,1.9875,d,2019-02-16 17:30:00,0,1,0,1,0.7069560000000001,12.565217391304348,289,23,6.32258064516129,196,31,Hertha Berlin,0.09705000000000008,-0.6099060000000001,0.9875
Bundesliga,2018,a,0.279649,0.989434,0.279649,0.989434,6,4,0,1,0.6027,l,2019-02-23 14:30:00,0,0,1,0,-0.7097850000000001,13.344827586206897,387,29,7.892857142857143,221,28,Hertha Berlin,0.279649,-0.010565999999999964,0.6027
Bundesliga,2018,h,1.77228,0.83743,1.77228,0.83743,3,7,2,1,2.1633,w,2019-03-02 14:30:00,1,0,0,3,0.9348500000000001,5.517241379310345,160,29,13.826086956521738,318,23,Hertha Berlin,-0.22771999999999992,-0.16257,-0.8367
Bundesliga,2018,a,1.0226,0.972717,1.0226,0.972717,3,3,1,2,1.3505,l,2019-03-09 14:30:00,0,0,1,0,0.0498829999999999,5.407407407407407,146,27,20.3125,325,16,Hertha Berlin,0.022599999999999953,-1.027283,1.3505
Bundesliga,2018,h,2.20854,2.23731,1.45076,2.23731,8,11,2,3,1.3824,l,2019-03-16 17:30:00,0,0,1,0,-0.7865499999999999,9.541666666666666,229,24,14.428571428571429,202,14,Hertha Berlin,0.20854000000000017,-0.7626900000000001,1.3824
Bundesliga,2018,a,0.895578,5.04475,0.895578,5.04475,4,16,0,5,0.017,l,2019-03-30 17:30:00,0,0,1,0,-4.149172,17.8,267,15,17.36842105263158,330,19,Hertha Berlin,0.895578,0.04474999999999962,0.017
Bundesliga,2018,h,1.90031,2.72781,1.90031,2.72781,7,4,1,2,0.8234999999999999,l,2019-04-06 14:30:00,0,0,1,0,-0.8274999999999999,6.741935483870968,209,31,16.40909090909091,361,22,Hertha Berlin,0.9003099999999999,0.7278099999999998,0.8234999999999999
Bundesliga,2018,a,0.305091,3.53386,0.305091,3.53386,7,14,0,2,0.052,l,2019-04-14 12:30:00,0,0,1,0,-3.228769,14.16,354,25,6.0285714285714285,211,35,Hertha Berlin,0.305091,1.5338599999999998,0.052
Bundesliga,2018,h,1.07608,0.527392,1.07608,0.527392,13,3,0,0,1.8231000000000002,d,2019-04-21 17:00:00,0,1,0,1,0.548688,4.205882352941177,143,34,12.473684210526315,237,19,Hertha Berlin,1.07608,0.527392,0.8231000000000002
Bundesliga,2018,a,1.17855,2.16123,1.17855,2.16123,3,6,0,0,0.6672,d,2019-04-27 14:30:00,0,1,0,1,-0.9826800000000002,4.878787878787879,161,33,8.035714285714286,225,28,Hertha Berlin,1.17855,2.16123,-0.3328
Bundesliga,2018,h,2.28859,1.39423,2.28859,1.39423,2,4,3,1,2.0773,w,2019-05-04 14:30:00,1,0,0,3,0.89436,11.238095238095237,236,21,10.692307692307692,278,26,Hertha Berlin,-0.7114099999999999,0.3942300000000001,-0.9226999999999999
Bundesliga,2018,a,2.5836,1.43088,1.82582,0.673101,13,3,4,3,2.1804,w,2019-05-11 14:30:00,1,0,0,3,1.152719,13.368421052631579,254,19,25.923076923076923,337,13,Hertha Berlin,-1.4163999999999999,-1.56912,-0.8195999999999999
Bundesliga,2018,h,1.20477,2.37483,1.20477,2.37483,2,6,1,5,0.4036,l,2019-05-18 13:30:00,0,0,1,0,-1.1700600000000003,21.217391304347824,488,23,8.392857142857142,235,28,Hertha Berlin,0.2047699999999999,-2.62517,0.4036
Bundesliga,2018,h,1.91197,0.840127,1.91197,0.840127,7,4,1,1,2.2013,d,2018-08-25 16:30:00,0,1,0,1,1.0718429999999999,11.28,282,25,11.96,299,25,Werder Bremen,0.91197,-0.15987300000000004,1.2012999999999998
Bundesliga,2018,a,1.34271,1.25306,1.34271,0.495288,9,1,2,1,1.3942999999999999,w,2018-09-01 13:30:00,1,0,0,3,0.8474220000000001,8.173913043478262,188,23,36.0,252,7,Werder Bremen,-0.6572899999999999,0.25306000000000006,-1.6057000000000001
Bundesliga,2018,h,0.700449,0.514375,0.700449,0.514375,3,4,1,1,1.4665,d,2018-09-16 13:30:00,0,1,0,1,0.18607399999999996,8.928571428571429,250,28,15.38888888888889,277,18,Werder Bremen,-0.299551,-0.485625,0.4664999999999999
Bundesliga,2018,a,1.39048,2.11259,1.39048,2.11259,6,8,3,2,0.8962,w,2018-09-22 13:30:00,1,0,0,3,-0.72211,12.705882352941176,216,17,8.137931034482758,236,29,Werder Bremen,-1.60952,0.11258999999999997,-2.1038
Bundesliga,2018,h,2.51866,0.94148,1.76088,0.94148,10,5,3,1,2.5496999999999996,w,2018-09-25 16:30:00,1,0,0,3,0.8194,10.52,263,25,17.428571428571427,244,14,Werder Bremen,-0.4813399999999999,-0.058520000000000016,-0.45030000000000037
Bundesliga,2018,a,0.656694,2.43649,0.656694,2.43649,4,5,1,2,0.2967,l,2018-09-29 13:30:00,0,0,1,0,-1.7797960000000002,7.45,149,20,13.526315789473685,257,19,Werder Bremen,-0.343306,0.43649000000000004,0.2967
Bundesliga,2018,h,1.10209,0.351604,1.10209,0.351604,4,4,2,0,2.0351999999999997,w,2018-10-05 18:30:00,1,0,0,3,0.750486,13.31578947368421,253,19,12.222222222222221,220,18,Werder Bremen,-0.89791,0.351604,-0.9648000000000003
Bundesliga,2018,a,0.399747,0.966026,0.399747,0.966026,5,4,2,0,0.7575,w,2018-10-20 16:30:00,1,0,0,3,-0.566279,8.464285714285714,237,28,14.19047619047619,298,21,Werder Bremen,-1.600253,0.966026,-2.2425
Bundesliga,2018,h,1.49927,4.07211,1.49927,4.07211,7,8,2,6,0.2288,l,2018-10-28 16:00:00,0,0,1,0,-2.5728400000000002,7.241379310344827,210,29,23.125,370,16,Werder Bremen,-0.5007299999999999,-1.9278899999999997,0.2288
Bundesliga,2018,a,1.25758,1.54801,1.25758,1.54801,11,3,1,2,1.0966,l,2018-11-04 17:00:00,0,0,1,0,-0.2904300000000002,11.666666666666666,210,18,21.263157894736842,404,19,Werder Bremen,0.2575799999999999,-0.4519899999999999,1.0966
